,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,
0,250,255,251,254,250,254,250,253,250,253,250,302,250,253,250,253,250,254,250,253,250,253,251,253,250,253,266,254,250,253,252,250,253,250,254,250,253,250,253,251,253,250,268,253,250,253,251,253,250,253,250,253,250,253,250,253,250,253,290,253,250,253,252,251,253,
1,250,253,250,253,251,254,250,253,250,268,250,253,250,254,250,253,250,253,250,254,250,253,250,253,266,254,250,254,252,250,254,250,253,250,253,250,254,250,253,250,286,254,250,254,250,253,250,253,250,254,250,253,250,253,250,253,263,254,250,253,252,250,254,250,253,
2,250,253,251,253,250,253,250,265,250,253,250,254,250,253,250,253,250,253,250,253,250,253,250,287,250,253,251,250,254,250,253,250,253,250,254,250,253,250,267,250,254,250,254,250,253,250,250,253,251,253,250,253,250,254,263,253,250,253,263,250,253,250,253,250,254,
3,250,253,250,254,251,287,250,254,254,251,253,250,253,250,253,250,253,250,253,250,254,264,254,250,264,253,250,253,250,253,250,254,250,253,250,253,263,253,250,253,251,254,250,253,250,253,250,254,250,253,250,253,283,254,250,253,264,253,250,253,250,254,250,253,250,
4,253,251,253,268,253,250,253,250,253,251,253,250,253,250,253,250,253,250,253,262,254,250,253,252,251,253,250,253,250,253,250,253,250,253,283,254,254,250,253,250,253,250,252,253,250,253,250,254,250,253,264,253,250,253,252,250,253,250,254,250,253,250,253,250,254,
5,250,266,250,254,251,253,250,253,250,254,250,253,250,253,250,254,250,286,250,253,252,250,254,250,253,250,253,250,254,250,253,250,266,250,254,250,254,250,253,250,253,250,254,250,253,253,250,253,263,253,250,253,251,250,253,250,253,250,253,250,253,251,253,250,285,
6,250,254,251,253,250,253,250,254,250,253,250,253,250,254,250,270,250,254,252,250,253,250,253,250,253,250,253,251,253,250,265,250,253,250,253,250,253,250,253,250,253,251,253,250,253,250,285,253,250,253,252,250,253,250,253,250,253,250,254,250,253,251,267,250,253,
7,250,253,250,254,250,253,250,253,250,253,250,253,250,265,250,253,252,251,253,250,253,250,254,251,253,250,253,250,253,283,254,250,253,250,253,250,254,250,253,250,253,250,254,250,266,250,253,250,253,252,253,250,254,250,253,250,253,250,254,250,266,250,254,250,253,
8,250,253,250,254,250,253,250,253,250,254,250,286,250,253,250,252,253,250,253,250,253,250,254,250,253,250,253,263,253,250,253,250,254,250,253,250,253,250,254,250,253,250,265,250,254,250,253,252,250,253,250,253,250,254,250,253,250,253,286,250,253,250,253,250,253,
9,250,253,250,253,250,254,250,253,250,266,250,253,250,252,253,250,253,250,254,250,253,250,253,251,253,262,254,250,253,250,253,250,253,251,253,250,253,250,254,250,285,251,254,250,254,252,250,253,250,253,250,253,250,254,250,253,266,250,253,250,253,250,254,250,253,
10,250,253,251,253,250,253,250,265,250,253,250,252,254,250,253,250,253,250,253,250,253,250,253,286,254,250,254,251,253,250,253,250,253,251,253,250,253,250,266,250,254,250,254,252,250,254,250,253,250,253,250,254,250,253,263,253,250,254,250,254,250,253,253,251,254,
11,250,253,250,253,251,286,250,254,250,252,253,250,253,250,253,251,253,250,253,250,253,264,253,250,254,250,253,250,253,250,253,250,253,250,253,250,253,263,253,250,254,252,250,253,250,253,250,253,250,253,250,254,283,254,251,254,250,253,250,253,250,253,250,253,253,
12,250,254,250,266,250,253,250,251,253,250,253,250,254,250,253,250,253,250,254,263,254,250,254,251,253,250,253,250,253,250,254,250,253,250,253,282,254,253,267,250,254,250,253,250,253,250,254,251,253,250,271,253,250,254,251,254,250,253,250,253,250,253,251,253,250,
13,253,262,254,251,253,265,253,250,253,250,253,250,253,250,253,250,253,283,254,250,253,250,254,250,253,250,253,250,254,250,253,250,253,262,254,250,254,252,250,254,250,253,250,253,250,254,250,253,263,253,250,254,250,253,250,253,250,254,250,253,250,253,250,253,286,
14,250,253,250,252,253,250,253,250,253,251,253,250,253,250,253,269,254,250,254,250,253,250,253,250,254,250,253,250,253,250,254,265,253,250,263,254,250,253,250,253,250,255,250,253,250,253,283,254,250,253,250,253,250,254,250,253,250,254,250,253,250,254,265,253,250,
15,250,265,253,250,253,250,253,250,253,250,253,250,266,250,254,250,253,250,253,251,253,250,253,250,254,250,253,250,287,254,251,254,252,250,254,250,253,250,253,250,254,250,253,250,266,250,253,250,253,250,253,250,253,250,253,251,253,250,253,250,265,250,253,250,252,
16,253,250,254,250,253,250,253,250,254,250,253,282,253,250,253,250,253,250,254,250,253,250,253,250,254,250,266,250,254,250,253,252,251,253,250,254,253,250,254,250,253,250,266,250,253,250,253,250,253,250,253,250,253,251,253,250,253,250,286,250,254,250,252,253,250,
17,253,250,253,250,253,251,253,250,253,263,253,250,253,250,253,250,253,250,253,251,253,250,253,250,266,250,254,251,253,252,250,254,250,253,250,253,250,254,250,253,286,250,253,250,253,250,253,250,253,250,253,250,253,250,253,250,267,250,254,250,252,253,250,253,250,
18,253,250,254,250,253,250,253,262,253,250,253,250,254,251,253,250,253,250,254,250,253,250,253,282,254,250,254,252,250,253,250,254,250,253,250,254,251,253,263,254,254,250,253,250,253,250,253,250,253,250,254,250,253,250,266,250,253,250,252,254,251,253,250,253,250,
19,254,250,253,250,253,282,254,250,253,250,254,251,253,250,253,250,253,251,253,250,253,263,253,250,253,251,250,253,250,254,250,253,250,253,250,254,262,254,250,254,250,253,250,253,250,254,250,253,250,253,253,251,286,250,253,250,252,254,250,253,250,253,250,254,251,
20,253,250,253,263,253,250,253,250,254,250,253,252,251,253,250,253,250,254,250,266,250,254,252,250,253,250,254,250,253,250,253,250,254,250,285,250,255,250,253,250,253,250,253,251,253,250,253,250,254,250,263,254,250,254,252,250,254,250,253,250,253,250,254,250,253,
21,250,265,250,253,250,253,250,253,250,253,250,253,250,253,251,253,250,289,250,254,252,250,253,250,253,250,254,251,253,250,253,250,266,250,254,250,254,250,253,250,253,250,253,250,253,250,253,251,265,251,254,250,253,252,254,250,253,250,253,250,253,250,253,250,285,
22,251,254,250,253,250,253,250,254,250,253,250,253,250,254,250,266,250,253,250,251,253,250,253,250,254,250,253,250,253,250,253,262,254,250,253,250,254,250,254,250,253,250,253,250,254,250,285,250,254,250,253,251,250,253,253,250,254,250,253,250,253,251,266,251,253,
