small_mult,large_mult
158,148
148,143
145,142
151,141
148,164
145,148
146,143
144,142
144,142
145,173
144,217
154,165
156,168
142,142
142,145
143,142
141,143
142,142
146,144
145,143
143,143
142,141
141,142
143,143
143,142
143,143
141,173
143,143
144,145
146,142
142,143
142,142
142,145
145,142
142,142
144,173
143,142
143,142
144,141
144,144
142,173
145,143
143,141
141,142
143,168
146,175
144,145
142,173
143,144
142,144
153,145
146,145
144,150
144,142
146,141
143,144
143,144
143,143
143,143
143,143
143,145
143,145
142,142
145,145
144,142
173,143
144,142
145,148
145,142
143,143
173,144
143,142
142,142
143,143
145,143
142,145
144,143
144,142
146,144
181,167
154,147
143,149
142,143
143,142
173,143
144,141
144,150
145,170
148,149
146,146
146,143
144,143
142,143
144,143
145,142
145,143
145,145
143,173
143,173
142,144
143,143
143,143
143,143
146,144
143,142
173,143
146,141
144,141
142,142
143,141
143,143
172,144
143,152
144,149
168,145
143,142
142,143
143,173
144,173
144,143
141,143
143,142
142,142
142,145
143,143
146,155
145,144
148,144
143,142
143,142
142,142
144,141
143,142
141,144
142,143
143,173
144,143
141,143
142,141
142,143
143,141
145,143
143,173
145,143
142,143
143,143
144,144
169,143
185,148
146,165
145,143
143,143
142,144
143,142
173,143
141,144
141,145
144,143
142,142
143,143
142,141
144,145
142,173
161,142
150,148
149,144
147,143
143,143
173,145
142,143
142,145
143,174
173,144
143,173
142,142
141,142
143,143
143,143
143,142
142,143
142,143
155,145
175,142
174,142
174,145
146,143
141,143
142,142
143,143
144,142
141,142
144,144
143,143
142,141
142,143
144,143
142,142
142,142
144,142
143,142
142,174
144,163
142,151
148,146
173,143
142,145
142,143
144,145
144,144
142,143
143,143
142,143
142,142
141,143
144,142
180,155
163,142
143,143
141,141
143,145
141,143
143,146
144,143
145,146
143,142
142,144
145,142
143,144
142,143
143,142
142,142
145,143
143,145
144,143
142,143
143,142
141,144
143,143
143,144
144,151
145,146
157,144
147,157
143,144
146,173
143,142
143,146
142,143
144,143
173,154
177,143
143,144
145,143
143,142
145,143
144,143
143,144
141,145
164,148
148,173
144,146
142,174
146,143
143,142
142,143
143,143
142,144
141,144
143,142
141,145
146,142
142,142
143,143
144,145
144,142
142,142
143,145
142,153
142,142
145,143
144,143
147,142
144,141
142,167
143,179
146,166
157,154
152,170
143,148
147,145
149,143
149,144
141,143
143,143
143,144
142,146
143,145
144,143
143,143
143,144
145,143
141,143
144,142
144,143
142,142
145,143
141,143
143,142
173,142
143,145
142,173
142,143
144,144
144,144
173,144
144,168
143,149
142,176
175,173
143,142
144,142
146,143
143,142
173,144
143,142
145,143
145,141
144,142
143,143
144,141
142,143
142,173
145,143
142,143
145,145
144,143
142,141
142,141
145,143
141,142
143,142
143,143
143,142
144,144
145,141
173,141
144,143
143,146
141,142
142,143
143,142
143,141
170,149
182,149
161,146
155,144
173,143
142,146
141,145
144,143
145,142
144,142
142,144
144,143
145,142
141,144
144,143
142,142
173,141
142,143
142,147
142,142
142,14
