small_mult,large_mult
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,201
215,200
200,200
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
224,200
200,200
200,200
200,200
200,200
200,200
200,200
200,226
201,200
200,210
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,200
200,211
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,200
200,200
200,220
200,200
200,201
200,200
200,200
201,200
200,200
200,200
200,200
200,201
200,214
200,200
201,200
200,200
200,200
200,200
200,201
200,200
200,200
200,200
200,207
201,200
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,216
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,200
200,206
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,205
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,215
200,201
200,200
200,200
201,200
200,200
200,200
200,200
200,201
200,200
200,207
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,206
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
216,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
206,200
200,200
200,200
201,200
200,200
200,200
200,200
200,200
200,200
200,200
205,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
215,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
206,201
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,200
205,201
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,200
215,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
206,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
205,200
200,200
200,200
200,200
200,200
200,200
200,200
201,200
200,200
200,200
215,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
206,201
200,200
200,200
200,200
200,201
200,200
200,200
200,200
200,200
200,200
205,201
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,216
201,200
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,207
200,201
200,200
200,200
201,200
200,200
200,200
200,200
200,201
200,200
200,206
200,201
200,200
200,200
201,200
200,200
200,200
200,200
200,201
200,200
200,215
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,206
200,200
200,200
201,200
200,200
200,200
200,200
200,200
200,200
200,200
200,205
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,215
200,200
200,200
200,200
200,201
200,200
200,200
200,200
200,200
200,200
200,206
200,200
200,200
201,200
200,200
200,200
200,200
200,201
200,200
200,200
201,205
200,200
200,200
201,200
200,200
200,200
200,200
200,201
200,200
200,200
201,225
200,200
200,200
200,200
200,200
200,200
200,200
200,201
200,200
200,200
201,207
200,200
201,200
200,200
200,200
200,200
200,200
200,200
200,200
201,200
206,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,200
200,200
217,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
207,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
206,200
200,200
200,200
201,200
200,200
200,200
200,200
200,201
200,200
200,200
216,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
207,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,201
200,200
206,200
200,200
200,200
200,200
201,200
200,200
200,200
200,200
200,200
200,200
216,336
214,200
200,200
200,200
200,200
200,200
200,201
200,200
200,200
201,208
200,200
200,200
200,200
200,200
200,201
200,200
200,200
200,200
200,200
200,207
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,200
200,200
200,218
200,200
200,200
201,200
200,200
200,200
200,200
200,201
200,200
200,200
201,208
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,207
200,201
200,200
200,200
201,200
200,200
200,200
200,200
200,201
200,200
200,218
200,200
201,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
207,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
217,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,200
200,200
218,201
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
207,200
200,201
200,200
200,200
201,200
200,200
200,200
200,200
200,201
200,200
206,200
201,200
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
216,201
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
211,200
200,201
200,200
200,200
201,200
200,200
200,200
200,200
200,200
200,200
206,201
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,216
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,206
200,200
201,200
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,206
200,200
200,200
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,216
200,200
201,200
200,200
200,200
200,200
200,200
200,200
200,200
201,200
200,207
200,200
201,200
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,206
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,200
200,200
200,217
201,200
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,210
200,200
200,201
200,200
200,200
201,200
200,200
200,200
200,200
200,201
200,206
200,200
200,200
200,201
200,200
200,200
200,200
200,200
200,200
200,200
200,217
200,200
201,200
200,200
200,200
200,200
200,200
200,200
200,200
201,200
200,207
200,200
200,200
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,206
200,200
201,200
200,200
200,200
200,200
200,201
200,200
200,200
200,200
216,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
207,200
200,200
200,200
200,200
200,200
200,200
200,201
200,200
200,200
201,200
206,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
216,200
200,200
200,200
201,200
200,200
200,200
200,200
200,201
200,200
200,200
207,200
200,200
200,200
200,200
200,200
200,200
200,200
200,201
200,200
200,200
206,201
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,200
215,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
206,201
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
200,200
205,201
200,200
200,200
200,200
200,201
200,200
200,200
201,200
200,200
200,200
215,200
200,200
200,200
201,200
200,200
200,200
200,200
200,200
200,200
200,200
206,200
200,200
